Status
Checking HiRTOS.tla / HiRTOS_all_safety_and_liveness.cfg
Success Fingerprint collision probability: 9.1E-6
Start: 00:18:34 (May 25), end: 07:54:21 (May 25)

States
Time	Diameter	Found	Distinct	Queue
03:56:15	177	15 179 576	4 152 125	57 331
03:57:15	177	15 242 181	4 168 131	56 883
03:58:15	178	15 305 514	4 184 066	57 172
03:59:15	178	15 369 257	4 202 849	58 013
04:00:15	178	15 432 389	4 220 179	57 294
04:01:15	178	15 494 996	4 235 409	57 597
04:02:15	179	15 557 441	4 252 458	57 654
04:03:15	179	15 621 272	4 271 230	58 177
04:04:15	179	15 684 244	4 287 184	58 408
04:05:15	180	15 746 647	4 302 988	58 250
04:06:15	180	15 810 560	4 321 708	59 306
04:07:15	180	15 872 057	4 338 344	58 838
04:08:15	180	15 934 882	4 353 514	58 931
04:09:15	181	15 997 573	4 371 019	59 447
04:10:15	181	16 061 517	4 389 540	59 450
04:11:15	181	16 124 393	4 405 395	59 555
04:12:15	182	16 187 362	4 421 472	59 688
04:13:15	182	16 251 403	4 440 239	60 355
04:14:15	182	16 313 940	4 457 163	59 963
04:15:15	182	16 376 688	4 472 372	60 196
04:16:15	183	16 439 423	4 489 880	60 755
04:17:15	183	16 502 821	4 508 458	61 195
04:18:16	183	16 565 039	4 524 208	61 003
04:19:16	184	16 627 759	4 540 077	61 424
04:20:16	184	16 690 613	4 558 335	61 652
04:21:16	184	16 754 719	4 576 526	62 017
04:22:16	184	16 817 411	4 591 942	62 766
04:23:16	185	16 877 796	4 607 759	62 858
04:24:16	185	16 942 010	4 626 556	63 545
04:25:16	185	17 004 346	4 643 479	63 395
04:26:16	185	17 067 968	4 659 022	63 977
04:27:16	186	17 132 205	4 676 270	63 864
04:28:16	186	17 196 383	4 695 128	64 813
04:29:16	186	17 259 783	4 711 660	64 654
04:30:16	187	17 323 872	4 727 297	64 873
04:31:16	187	17 396 054	4 747 586	64 798
04:32:16	187	17 464 638	4 767 710	65 492
04:33:16	187	17 531 526	4 783 831	65 481
04:34:16	188	17 597 789	4 801 032	65 471
04:35:16	188	17 665 896	4 820 595	65 877
04:36:16	188	17 732 386	4 838 839	65 850
04:37:16	188	17 799 335	4 854 838	65 910
04:38:16	189	17 866 115	4 872 565	65 794
04:39:16	189	17 929 556	4 891 198	66 015
04:40:16	189	17 995 735	4 908 247	65 598
04:41:16	190	18 062 382	4 924 318	65 284
04:42:17	190	18 129 196	4 942 847	65 143
04:43:17	190	18 196 715	4 962 357	64 735
04:44:17	190	18 262 763	4 978 308	64 067
04:45:17	191	18 328 897	4 994 909	63 667
04:46:17	191	18 396 285	5 013 803	62 691
04:47:17	191	18 462 382	5 031 791	62 310
04:48:17	191	18 528 845	5 047 475	61 826
04:49:17	192	18 595 106	5 065 161	61 670
04:50:17	192	18 661 757	5 084 439	60 455
04:51:17	192	18 727 997	5 100 443	59 904
04:52:17	193	18 794 033	5 117 193	59 514
04:53:17	193	18 861 290	5 135 987	58 497
04:54:17	193	18 929 758	5 153 665	58 133
04:55:17	194	18 995 741	5 169 762	57 418
04:56:17	194	19 062 512	5 188 057	56 722
04:57:17	194	19 125 190	5 205 179	55 908
04:58:17	194	19 191 319	5 220 493	55 204
04:59:17	195	19 257 713	5 238 153	54 657
05:00:17	195	19 323 652	5 256 854	53 556
05:01:17	195	19 389 920	5 272 066	52 751
05:02:17	196	19 456 095	5 289 564	52 178
05:03:17	196	19 521 981	5 308 256	51 311
05:04:17	196	19 587 603	5 323 493	50 758
05:05:17	197	19 653 676	5 341 234	50 123
05:06:17	197	19 719 166	5 359 314	49 465
05:07:17	198	19 784 637	5 374 787	49 059
05:08:17	198	19 851 057	5 393 190	48 569
05:09:17	198	19 916 370	5 410 505	48 170
05:10:18	199	19 981 821	5 426 983	48 141
05:11:18	199	20 048 181	5 445 297	47 641
05:12:18	199	20 113 745	5 462 400	47 818
05:13:18	200	20 179 539	5 479 171	47 208
05:14:18	200	20 243 456	5 497 890	47 375
05:15:18	200	20 309 048	5 513 571	47 053
05:16:18	201	20 374 891	5 531 820	47 173
05:17:18	201	20 440 502	5 550 011	46 891
05:18:18	202	20 506 115	5 566 274	46 861
05:19:18	202	20 571 845	5 584 843	46 797
05:20:18	202	20 637 346	5 601 836	46 377
05:21:18	203	20 702 895	5 618 678	46 078
05:22:18	203	20 769 096	5 637 725	45 853
05:23:18	203	20 834 347	5 653 352	45 528
05:24:18	204	20 899 985	5 671 596	44 933
05:25:18	204	20 965 443	5 688 955	44 310
05:26:18	205	21 030 940	5 705 533	43 963
05:27:18	205	21 096 739	5 724 150	43 229
05:28:18	205	21 161 962	5 739 861	42 588
05:29:18	206	21 227 297	5 757 817	41 585
05:30:18	206	21 292 786	5 774 852	41 070
05:31:18	207	21 357 927	5 791 802	40 240
05:32:18	207	21 423 313	5 809 904	39 688
05:33:18	208	21 484 580	5 825 044	39 277
05:34:18	208	21 549 828	5 843 533	38 596
05:35:18	208	21 614 613	5 859 634	38 774
05:36:19	209	21 679 579	5 877 758	38 027
05:37:19	209	21 744 533	5 894 673	38 332
05:38:19	210	21 809 520	5 912 537	38 047
05:39:19	210	21 874 333	5 929 994	38 550
05:40:19	211	21 939 485	5 947 142	38 485
05:41:19	211	22 004 637	5 965 668	39 036
05:42:19	212	22 069 359	5 982 098	39 201
05:43:19	212	22 134 695	6 001 160	39 714
05:44:19	212	22 199 393	6 016 939	39 874
05:45:19	213	22 264 382	6 035 704	39 780
05:46:19	213	22 329 138	6 052 277	40 127
05:47:19	214	22 393 882	6 070 000	40 486
05:48:19	214	22 459 018	6 087 993	41 108
05:49:19	215	22 523 754	6 104 482	41 524
05:50:19	215	22 589 614	6 123 504	41 874
05:51:19	215	22 654 498	6 139 475	42 162
05:52:19	216	22 719 144	6 157 437	41 889
05:53:19	216	22 780 986	6 174 180	42 754
05:54:19	217	22 845 954	6 190 779	43 042
05:55:19	217	22 912 082	6 209 825	43 586
05:56:19	217	22 977 037	6 225 805	43 835
05:57:19	218	23 041 475	6 243 493	43 548
05:58:19	218	23 106 864	6 261 263	44 304
05:59:19	219	23 171 754	6 277 665	44 781
06:00:19	219	23 237 426	6 296 734	45 234
06:01:19	219	23 302 082	6 313 043	45 662
06:02:19	220	23 366 678	6 330 080	45 674
06:03:19	220	23 427 228	6 347 828	47 222
06:04:20	220	23 491 558	6 363 610	47 667
06:05:20	221	23 555 595	6 380 917	47 466
06:06:20	221	23 621 502	6 399 626	48 884
06:07:20	221	23 686 015	6 415 133	49 382
06:08:20	222	23 750 365	6 433 067	49 319
06:09:20	222	23 815 717	6 450 998	50 185
06:10:20	222	23 880 622	6 466 558	50 633
06:11:20	223	23 945 456	6 484 950	50 531
06:12:20	223	24 010 584	6 502 633	51 374
06:13:20	223	24 075 519	6 518 084	51 604
06:14:20	224	24 140 165	6 536 292	51 370
06:15:20	224	24 205 351	6 554 183	52 157
06:16:20	224	24 270 096	6 569 619	52 302
06:17:20	225	24 334 607	6 587 333	51 865
06:18:20	225	24 399 995	6 605 652	52 534
06:19:20	225	24 464 426	6 620 916	52 547
06:20:20	226	24 528 726	6 638 197	52 038
06:21:20	226	24 594 881	6 656 897	52 176
06:22:20	226	24 659 394	6 672 143	51 947
06:23:20	227	24 723 720	6 689 217	51 435
06:24:20	227	24 789 063	6 707 689	51 094
06:25:20	227	24 853 342	6 722 744	50 549
06:26:20	228	24 917 424	6 739 883	50 068
06:27:20	228	24 982 526	6 757 965	49 346
06:28:20	228	25 046 746	6 772 847	48 750
06:29:20	229	25 111 059	6 790 397	48 116
06:30:21	229	25 175 174	6 807 497	47 471
06:31:21	230	25 239 627	6 822 426	46 792
06:32:21	230	25 302 023	6 839 785	45 850
06:33:21	230	25 365 888	6 855 914	45 069
06:34:21	231	25 429 932	6 871 275	44 356
